19th Ave/Montebello,,12/27/2008
19th Ave/Camelback,,12/27/2008
7th Ave/Camelback,,12/27/2008
Central Ave/Camelback,,12/27/2008
Campbell/Central Ave,,12/27/2008
Indian School/Central Ave,,12/27/2008
Osborn/Central Ave,,12/27/2008
Thomas/Central Ave,,12/27/2008
Encanto/Central Ave,,12/27/2008
McDowell/Central Ave,,12/27/2008
Roosevelt/Central Ave,,12/27/2008
Van Buren/Central Ave,,12/27/2008
Washington/Central Ave,,12/27/2008
3rd St/Washington,,12/27/2008
12th St/Washington,,12/27/2008
24th St/Washington,,12/27/2008
38th St/Washington,,12/27/2008
44th St/Washington,,12/27/2008
50th St/Washington,,12/27/2008
Priest Dr/Washington,,12/27/2008
Center Pkwy/Washington,,12/27/2008
Mill Ave/3rd St,,12/27/2008
Veteran's Way/College,,12/27/2008
University Dr/Rural Rd,,12/27/2008
Dorsey/Apache Blvd,,12/27/2008
McClintock/Apache Blvd,,12/27/2008
Smith-Martin/Apache Blvd,,12/27/2008
Price-101 Fwy/Apache Blvd,,12/27/2008
Sycamore/Main St,,12/27/2008
